,range
GSNt2,1000.0
GK1,1000.0
GK2,1000.0
GLCGSD,1000.0
GLCGSDv,31.25
GSNt2m,0.0
GTHOr,1000.0
GTHOXti,1000.0
GTHOm,1000.0
GLCNtv,31.25
FBA2,1000.0
GLCP,1000.0
GLCS2,1000.0
GTHPi,1000.0
GTHPm,1000.0
GTHRDabcv,0.0
GTHRDt2,1000.0
GLCt1,1000.0
GLCtv,1000.0
FBA3,1000.0
GLNS,1000.0
GLNTRS,0.0
GTHS,1000.0
GTMLT,0.0
GLNt2n,0.0
FBP,1000.0
GLNt2r,1000.0
GLNt6,1000.0
GTPCI,0.0
GTPCII,500.0
GTPH1,1000.0
GLNt7,1000.0
GTPt2m,1000.0
GLPT,0.0
FBP26,1000.0
GLU5K,1000.0
GLUCYS,1000.0
GLUDC,1000.0
GUAD,1000.0
GUAPRT,1000.0
GUAt2r,1000.0
GUAtm,0.0
H2O2tn,1000.0
H2Ot,1000.0
GLUDxi,1000.0
GLUDy,1000.0
H2Oter,166.66666666666666
FCLTm,0.0
H2Otm,1000.0
H2Otn,1000.0
H2Otp,1000.0
HCITSm,1000.0
H2Otv,515.625
HCITSn,0.0
FDH,1000.0
HACD10p,1000.0
HACD4p,1000.0
FDNG,1000.0
HACD5p,1000.0
HACD6p,1000.0
HCO3E,1000.0
HCO3Em,1000.0
HCO3En,1000.0
HACD7p,1000.0
HACD8p,1000.0
HCO3tn,1000.0
HACNHm,1000.0
FE2t,0.0
HBZOPT6m,0.0
FE2utm,1000.0
HCYSMT,1000.0
HCYSt2p,1000.0
HDCAt,1000.0
HDCEAt,1000.0
FECOSTAT_SC,1000.0
HEMEOMOm,0.0
HEMEOSm,0.0
HETZK,1000.0
FECOSTESTH_SC,1000.0
HEX1,1000.0
HEX4,1000.0
FECOSTESTH_SCe,1000.0
HEX7,1000.0
HEXCCOAtx,50.0
HEXDPtm,0.0
ILEtmi,1000.0
FECOSTt,1000.0
HGNTOR,0.0
HICITDm,1000.0
FEtm,1000.0
IMPC,1000.0
FKYNH,1000.0
IMPD,1000.0
IND3ACtm,1000.0
HISTD,1000.0
FMETTRSm,0.0
HISTP,1000.0
HISTRS,0.0
IND3ETHt,1000.0
IND3ETHtm,1000.0
INDPYRD,1000.0
HISTRSm,0.0
INSK,1000.0
FMNAT,1000.0
HISt2m,0.0
HISt2r,1000.0
HISt6,0.0
HKYNH,1000.0
HMBS,0.0
INSTt2,1000.0
INSt2,1000.0
IPC124PLC_SC,1000.0
IPC126PLC_SC,1000.0
IPC224PLC_SC,1000.0
IPC226PLC_SC,1000.0
HMGCOAR,1000.0
HMGCOAS,1000.0
HMGCOASm,1000.0
IPC324PLC_SC,1000.0
IPC326PLC_SC,1000.0
HMGCOAtm,1000.0
FMNATm,1000.0
HMPK1,1000.0
HPPKm,1000.0
HPROa,1000.0
IPCS124_SC,1000.0
IPCS126_SC,1000.0
IPCS224_SC,1000.0
IPCS226_SC,1000.0
HPROb,1000.0
HPROxm,1000.0
IPCS324_SC,1000.0
IPCS326_SC,1000.0
HPROym,1000.0
FMNRx,1000.0
HSDxi,1000.0
IPDDI,333.3333333333333
FMNRx2,1000.0
IPDPtm,0.0
IPMD,1000.0
IPPMIa,1000.0
IPPMIb,1000.0
IPPS,1000.0
HSDy,1000.0
HSERTA,1000.0
HSK,1000.0
HSTPT,1000.0
HXANt2r,1000.0
HXPRT,1000.0
HYPOE,1000.0
IAMACt,1000.0
IAMOHt,1000.0
IAMOHtm,1000.0
IBUTACt,1000.0
IBUTOHt,1000.0
IBUTOHtm,1000.0
ICDHxm,1000.0
IPPSm,1000.0
ITCOALm,0.0
KARA1im,1000.0
KARA2im,1000.0
KYN,1000.0
KYN3OX,1000.0
Kt2r,0.0
LALDO3,1000.0
LANOSTAT_SC,1000.0
ICDHyr,1000.0
ICDHym,1000.0
ICDHyp,1000.0
ICL,1000.0
LANOSTESTH_SC,1000.0
FOLD3m,1000.0
LANOSTESTH_SCe,1000.0
LANOSTt,1000.0
LCADi,1000.0
LCYSTintv,0.0
LEUTA,1000.0
LEUTAm,0.0
LEUTRS,0.0
LEUTRSm,0.0
ID3ACALDt,1000.0
ID3ACALDtm,1000.0
IG3PS,1000.0
IGPDH,1000.0
IGPS,1000.0
ILETA,1000.0
ILETAm,1000.0
ILETRS,0.0
ILETRSm,0.0
ILEt2r,1000.0
ILEt6,1000.0
ILEt7,1000.0
LEUt2r,1000.0
LEUt6,1000.0
LEUt7,1000.0
LGTHL,1000.0
LNS14DM,1000.0
LNS14DMx,1000.0
FORt,1000.0
LNSTLS,166.66666666666666
MACACI,0.0
MALOAAtp,1000.0
LPCAT_SC,1000.0
LPP_SC,1000.0
FORtm,1000.0
FRDPtm,0.0
FRDcm,1000.0
LSERDHr,0.0
LYSTRS,0.0
LYSTRSm,0.0
LYSt2m,0.0
LYSt2r,1000.0
MALS,1000.0
MALSp,1000.0
MALT,1000.0
MALTt2,1000.0
MALt2r,1000.0
MALtm,1000.0
MAN1PT,31.329215219284553
LYSt6,0.0
L_LACD2cm,1000.0
L_LACt2r,1000.0
MAN6PI,1000.0
L_LACtm,0.0
MANNANter,31.329215219284553
FRDm,1000.0
MANt2,1000.0
MCITDm,1000.0
MCITL2m,1000.0
FRTT,0.0
MCITSm,1000.0
MCOATA,0.0
MCOATAm,1000.0
MIPC326PLC_SC,1000.0
MIPCS124_SC,1000.0
MIPCS126_SC,1000.0
MDH,1000.0
MIPCS224_SC,1000.0
MDHm,1000.0
MDHp,1000.0
MIPCS226_SC,1000.0
MIPCS324_SC,1000.0
MIPCS326_SC,1000.0
MMETt2,0.0
FRUK,1000.0
MDRPD,1000.0
FRUt2,1000.0
FTHFCL,1000.0
ME1m,1000.0
ME2m,1000.0
MOHMT,1000.0
MTAP,1000.0
MELIBt2,1000.0
FTHFCLm,1000.0
MELTGH,0.0
METAT,1000.0
MTHFC,1000.0
MTHFCm,1000.0
MTHFD,1000.0
FTHFI,1000.0
MTHFD2i,1000.0
MTHFDm,1000.0
MTHFR3,1000.0
METB1,1000.0
METS,1000.0
METTRS,0.0
METTRSm,0.0
METt2m,0.0
FTHFLi,1000.0
METt2r,1000.0
MTRI,1000.0
NABTNO,1000.0
NACt,1000.0
NADDPp,0.0
NADH2_u6cm,1000.0
NADH2_u6m,1000.0
NADK,1000.0
MEVK1,1000.0
MEVK2,1000.0
MEVK3,1000.0
MEVK4,1000.0
MFAPS_SC,1000.0
MGSA,1000.0
MHPGLUT,0.0
NADKm,1000.0
NADN,0.0
NADNm,0.0
MI13456PKn,0.0
FTHFLmi,1000.0
MI1345PKn,1000.0
MI1456PKn,1000.0
MI145P6Kn,1000.0
MI145PKn,1000.0
NADPPPS,1000.0
NADPPPSm,1000.0
NADPt,1000.0
MI145Ptn,0.0
FUM,1000.0
MI1PP,1000.0
MI1PS,1000.0
MINOHPtn,0.0
NADS1,1000.0
NADS1n,0.0
NADtn,0.0
MIP2C124PLC_SC,1000.0
NAPRT,1000.0
MIP2C126PLC_SC,1000.0
FUMAC,0.0
MIP2C224PLC_SC,1000.0
MIP2C226PLC_SC,1000.0
MIP2C324PLC_SC,1000.0
MIP2C326PLC_SC,1000.0
NAPRTm,0.0
NAt3_1,0.0
NDP1,1000.0
NDP3,1000.0
NDP3g,0.0
NDP4,1000.0
MIP2CS124_SC,1000.0
MIP2CS126_SC,1000.0
NDP7,1000.0
MIP2CS224_SC,1000.0
FUMm,1000.0
MIP2CS226_SC,1000.0
MIP2CS324_SC,1000.0
MIP2CS326_SC,1000.0
MIPC124PLC_SC,1000.0
NDPK1,1000.0
NDPK2,1000.0
NDPK3,1000.0
NDPK4,1000.0
NDPK5,1000.0
MIPC126PLC_SC,1000.0
NDPK6,1000.0
FUMt2r,1000.0
NDPK7,1000.0
NDPK8,1000.0
MIPC224PLC_SC,1000.0
MIPC226PLC_SC,1000.0
MIPC324PLC_SC,1000.0
NDPK9,1000.0
NFORTYRt,500.0
NFTYROX,500.0
NH4t,1000.0
NH4ti,1000.0
NH4tm,1000.0
NTD1,1000.0
G12MT1g,0.0
NTD10,1000.0
NTD11,1000.0
NTD2,1000.0
NTD3,1000.0
