,0
TMDPK,0
THRA,8
THRD_L,20
THRD_Lm,2
THRS,19
THRTRS,0
THRTRSm,0
THRt2m,2
URIK1,5
TMDPP,0
TMDPPK,0
TMDS,19
TMN,20
TMPK,0
TMPPP,0
TPI,1
TRDOXtp,0
TRDR,1
PSERDv_SC,17
TRDRDtp,0
TRDRm,0
TRE6PP,19
URIK2,15
URIt2,20
UTPH1,20
UTPtm,0
TRE6PS,19
TREH,20
PSERS_SC,19
TREHv,17
VALTA,1
VALTAim,16
VALTRS,0
TREt2,0
TREt2v,17
VALTRSm,0
PSERSm_SC,0
VALt2m,16
VALt2r,7
XANt,0
XPPT,4
XTSNt2,0
TRIGS_SC,1
TRPO2,6
TRPS1,19
TRPTA,4
TRPTRS,0
TRPTRSm,0
TRPt2m,0
TRPt2r,20
TTCCOAtx,0
XYLK,20
XYLR,0
XYLTD_D,20
XYLTt,20
TTDCAtr,18
TYRNFT,0
PSERT,19
TYRTAi,3
TYRTAim,2
TYRTAip,0
XYLt,0
YUMPS,0
ZYMSTAT_SC,0
ZYMSTESTH_SC,0
TYRTRS,0
TYRTRSm,0
ZYMSTESTH_SCe,0
TYRt2m,2
PSPH1Pter,20
TYRt2p,0
TYRt2r,0
TYRt6,0
TYRt7,0
UDPACGLP,0
ZYMSTt,15
biomass_c,1
SERD_L,5
UDPG4E,0
PSPHPL,0
UDPGALt2g,0
UGLT,7
UGLYCH,0
PSPHS,0
UMPK,19
PSP_L,19
UMPKn,0
UMPtn,0
PStg_SC,3
PStm_SC,20
UNK3,0
UPP3MT,0
PStv_SC,17
UPP3S,0
UPPDC1,0
UPPRT,5
PTD1INOtn_SC,0
URAt2,0
PTD4INOtn_SC,0
UREA2t2,4
UREASE,20
PTE10x,0
URIDK2r,1
