306: [-16.118095650958317, -6.907755278982137]
307: [-16.118095650958317, -6.907755278982137]
308: [-16.118095650958317, -6.907755278982137]
309: [-16.118095650958317, -6.907755278982137]
310: [-16.118095650958317, -6.907755278982137]
311: [-16.118095650958317, -6.907755278982137]
312: [-16.118095650958317, -6.907755278982137]
313: [-16.118095650958317, -6.907755278982137]
314: [-16.118095650958317, -6.907755278982137]
315: [-16.118095650958317, -6.907755278982137]
316: [-16.118095650958317, -6.907755278982137]
317: [-16.118095650958317, -6.907755278982137]
318: [-16.118095650958317, -7.364520502155418]
319: [-16.118095650958317, -6.907755278982137]
320: [-16.11809565095832, -6.907755278982137]
321: [-16.118095650958317, -6.907755278982137]
322: [-16.118095650958317, -6.907755278982137]
323: [-16.118095650958317, -6.907755278982137]
324: [-16.118095650958317, -6.907755278982137]
325: [-16.118095650958317, -6.907755278982137]
326: [-16.118095650958317, -6.907755278982139]
327: [-16.118095650958317, -6.907755278982137]
328: [-16.118095650958317, -6.907755278982137]
329: [-2.2584600856134784e-10, 2.2584600856134784e-10]
330: [-16.118095650958317, -6.907755278982137]
331: [-16.118095650958317, -6.907755278982137]
332: [-16.118095650958317, -6.907755278982137]
333: [-16.118095650958317, -6.907755278982137]
334: [-16.118095650958317, -6.907755278982137]
335: [-16.118095650958317, -6.907755278982137]
336: [-16.118095650958317, -7.8316710624187476]
337: [-16.118095650958317, -6.907755278982137]
338: [-16.118095650958317, -8.80884130079766]
339: [-16.118095650958317, -6.907755278982137]
340: [-16.118095650958317, -6.907755278982137]
341: [-13.875599179062469, -12.874330802797694]
342: [-16.11809565095832, -6.907755278982137]
343: [-16.118095650958317, -6.907755278982137]
344: [-16.118095650958317, -6.907755278982139]
345: [-16.118095650958317, -6.451986819158975]
346: [-16.118095650958317, -6.907755278982137]
347: [-16.118095650958317, -6.907755278982137]
348: [-16.118095650958317, -6.907755278982137]
349: [-16.118095650958317, -6.907755278982137]
350: [-16.118095650958317, -6.907755278982137]
351: [-16.118095650958317, -6.907755278982137]
352: [-16.118095650958317, -6.907755278982137]
353: [-16.118095650958317, -6.907755278982137]
354: [-16.118095650958317, -6.907755278982137]
355: [-16.118095650958317, -6.907755278982137]
356: [-9.695057754153986, -9.58827612602763]
357: [-16.118095650958317, -6.290088521103797]
358: [-16.118095650958317, -6.907755278982137]
359: [-16.118095650958317, -6.907755278982137]
360: [-16.118095650958317, -6.907755278982137]
361: [-16.118095650958317, -6.907755278982137]
362: [-16.118095650958317, -6.907755278982137]
363: [-12.733723690944565, -12.149354060378108]
364: [-16.118095650958317, -6.907755278982137]
365: [-16.118095650958317, -6.907755278982137]
366: [-16.11809565095832, -6.907755278982137]
367: [-16.118095650958317, -6.907755278982137]
368: [-16.11809565095832, -6.907755278982137]
369: [-16.118095650958317, -6.907755278982137]
370: [-16.118095650958317, -6.907755278982137]
371: [-16.118095650958317, -6.907755278982137]
372: [-16.118095650958317, -6.907755278982137]
373: [-16.118095650958317, -6.907755278982137]
374: [-11.086914531457815, -9.397555671021099]
375: [-16.118095650958317, -6.907755278982137]
376: [-10.16297404326341, -9.788910249667914]
377: [-9.855861822891733, -9.345388595139013]
378: [-16.118095650958317, -6.907755278982137]
379: [-16.118095650958317, -6.907755278982137]
380: [-16.118095650958317, -6.907755278982139]
381: [-16.118095650958317, -6.907755278982137]
382: [-16.118095650958317, -6.907755278982137]
383: [-16.11809565172704, -6.907755278982137]
384: [-11.680759396291286, -9.235323178723924]
385: [-16.118095650958317, -7.222044853908663]
386: [-10.151870178894079, -9.484719492558781]
387: [-16.11809565095832, -6.907755278982137]
388: [-16.11809565095832, -6.907755278982137]
389: [-16.118095650958317, -6.907755278982137]
390: [-16.118095650958317, -6.907755278982137]
391: [-16.118095650958317, -6.907755278982137]
392: [-3.6230917135759384, -3.582719258285546]
393: [-16.118095650958345, -9.606540999144144]
394: [-16.118095650958317, -6.907755278982137]
395: [-16.118095650958317, -6.907755278982137]
396: [-16.118095650958317, -6.907755278982137]
397: [-16.118095650958317, -6.907755278982137]
398: [-16.118095650958317, -6.907755278982137]
399: [-16.118095650958317, -6.907755278982137]
400: [-16.118095650958317, -6.907755278982137]
401: [-16.118095650958317, -6.907755278982137]
402: [-16.118095650958317, -4.01791131077767]
403: [-16.118095650958317, -6.907755278982137]
404: [-16.118095650958317, -6.907755278982139]
405: [-3.576901763736759, -3.2598255571493597]
406: [-16.118095650958317, -6.907755278982137]
407: [-16.118095664648315, -6.907755278982139]
408: [-16.118095650958317, -6.907755278982137]
409: [-16.118095650958317, -6.907755278982137]
410: [-16.118095662649587, -6.907755278982137]
